Date,Bywell,Reaverhill,Haydon Bridge
21/09/2002,7.273,3.252,3.448
22/09/2002,5.916,3.252,3.345
23/09/2002,5.703,3.109,3.178
24/09/2002,5.987,4.363,3.08
25/09/2002,6.882,3.7,2.952
26/09/2002,17.435,12.018,2.826
27/09/2002,29.26,12.018,2.703
28/09/2002,13.18,12.018,2.583
29/09/2002,13.18,8.851,2.437
30/09/2002,5.495,2.91,2.295
01/10/2002,5.058,2.852,2.184
02/10/2002,5.058,2.832,2.077
03/10/2002,5.124,2.852,2.024
04/10/2002,5.025,11.711,1.921
05/10/2002,12.592,11.749,1.845
06/10/2002,12.698,11.711,1.87
07/10/2002,12.645,11.787,1.746
08/10/2002,11.864,4.483,1.557
09/10/2002,5.091,3.029,1.603
10/10/2002,5.599,4.152,1.489
11/10/2002,6.023,11.673,1.627
12/10/2002,22.666,27.488,25.635
13/10/2002,51.109,27.834,23.127
14/10/2002,33.936,27.891,10.457
15/10/2002,32.539,20.467,10.762
16/10/2002,20.029,11.711,7.201
17/10/2002,17.435,9.565,7.201
18/10/2002,15.143,10.485,5.342
19/10/2002,15.435,14.78,4.88
20/10/2002,17.749,14.695,3.909
21/10/2002,328.759,145.118,155.018
22/10/2002,770.521,366.957,362.264
23/10/2002,301.516,153.108,85.953
24/10/2002,84.024,32.509,33.838
25/10/2002,186.156,102.259,77.869
26/10/2002,206.256,80.096,115.043
27/10/2002,388.166,176.203,194.986
28/10/2002,213.127,91.976,52.068
29/10/2002,83.038,37.398,38.725
30/10/2002,81.502,36.21,31.255
31/10/2002,51,28.941,15.564
01/11/2002,43.462,66.794,21.44
02/11/2002,237.542,108.922,126.47
03/11/2002,355.33,216.587,93.338
04/11/2002,102.643,49.133,26.889
05/11/2002,51.986,30.068,16.847
06/11/2002,198.886,81.828,119.328
07/11/2002,115.242,52.912,34.722
08/11/2002,244.732,91.976,140.819
09/11/2002,220.588,80.001,76.555
10/11/2002,75.771,44.04,24.225
11/11/2002,68.466,40.931,22.498
12/11/2002,169.166,76.78,78.71
13/11/2002,172.415,74.267,59.816
14/11/2002,431.257,177.882,254.926
15/11/2002,398.785,156.124,187.412
16/11/2002,118.594,56.988,35.28
17/11/2002,74.97,42.049,20.071
18/11/2002,50.456,17.031,16.693
19/11/2002,33.146,24.258,12.949
20/11/2002,40.215,30.248,26.987
21/11/2002,65.95,53.384,26.113
22/11/2002,146.834,85.345,41.599
23/11/2002,71.031,40.171,17.079
24/11/2002,47.573,29.472,12.024
25/11/2002,39.927,25.905,9.629
26/11/2002,35.907,24.474,8.724
27/11/2002,34.646,25.075,8.946
28/11/2002,71.55,36.67,44.578
29/11/2002,55.117,32.137,15.416
30/11/2002,40.215,25.793,10.701
01/12/2002,87.161,54.573,30.626
02/12/2002,207.341,73.714,144.236
03/12/2002,113.915,50.968,44.831
04/12/2002,117.247,63.586,45.466
05/12/2002,106.12,44.256,28.98
06/12/2002,37.563,17.352,13.152
07/12/2002,50.565,24.965,17.001
08/12/2002,50.782,24.801,17.469
09/12/2002,46.112,20.616,14.761
10/12/2002,29.753,12.882,10.158
11/12/2002,23.242,10.305,8.451
